21488,161,323,187
170,153,314,170
315,315,315,144
161,314,315,153
153,323,323,323
153,314,315,315
161,315,315,680
153,314,314,315
153,314,315,153
315,315,314,153
323,323,314,145
323,323,315,144
323,323,315,144
314,314,315,153
314,314,315,153
323,323,314,145
314,314,315,153
476,315,314,153
153,315,314,314
314,315,408,314
476,315,314,314
323,314,315,706
323,153,314,145
323,323,315,144
323,323,314,145
315,315,314,153
315,315,314,153
323,323,315,144
315,315,510,144
510,315,314,153
323,323,314,145
162,323,587,144
161,314,315,315
161,314,315,315
153,314,314,315
162,314,314,315
161,314,314,145
323,323,314,145
314,756,314,145
323,323,314,145
323,314,315,153
323,757,315,144
314,314,315,153
314,314,774,144
604,315,314,153
153,315,314,314
153,315,408,314
153,314,315,315
153,314,314,315
153,314,451,144
553,315,314,153
314,314,315,153
323,323,527,144
570,315,314,153
314,314,315,153
314,314,434,144
476,315,314,153
323,323,314,145
323,281,502,144
162,315,315,314
162,315,314,314
161,314,706,314
153,314,314,315
153,315,315,144
323,323,756,145
536,315,314,153
314,314,315,153
323,323,519,144
570,315,314,153
323,323,315,144
315,315,374,144
527,315,314,153
323,323,314,145
315,315,425,314
434,315,314,314
314,314,314,706
272,145,315,144
314,314,315,153
323,323,315,144
314,314,315,153
315,315,314,153
323,323,315,144
314,314,315,153
400,315,314,153
314,314,315,153
323,323,408,144
153,314,315,315
162,315,314,314
161,314,689,314
153,315,314,314
153,314,314,145
315,315,680,144
459,315,314,153
323,314,315,153
323,323,442,144
493,315,314,153
323,323,315,144
323,315,459,144
595,315,314,153
315,315,314,153
323,323,459,314
153,315,314,314
315,315,314,314
323,323,400,144
544,153,314,153
323,323,315,144
323,323,578,144
493,315,314,153
323,323,315,144
323,315,459,144
595,315,314,153
315,315,314,153
323,323,459,144
153,315,314,314
153,315,314,314
153,314,314,315
162,485,315,314
161,315,315,144
315,315,314,153
315,757,315,144
323,323,315,144
315,315,314,153
323,757,314,153
315,315,314,153
323,323,315,144
323,757,314,153
323,315,314,153
162,315,638,314
153,314,314,315
161,314,315,315
153,314,774,314
162,315,314,153
315,315,314,153
323,323,578,144
383,315,314,153
323,323,314,145
315,315,374,144
553,315,314,153
323,315,314,153
323,323,400,144
153,315,314,153
161,314,314,315
153,315,314,314
161,697,315,314
153,314,314,315
162,315,314,153
323,756,315,153
323,323,314,145
323,323,315,144
315,757,315,144
315,315,314,153
323,323,527,144
425,315,314,153
323,314,315,153
153,314,536,314
162,315,315,314
161,314,315,315
